Row Labels,Min of Avg,Min of STDEV
2048,15.75813191,0.053701053
2,108.1653806,0.183857647
4,25.60365006,0.053701053
8,15.75813191,0.154635933
16,16.99616146,0.682377051
32,19.22078558,0.401195191
64,18.61690064,0.206614741
128,18.55536769,0.127571886
256,18.5174395,0.087109312
512,43.61348451,0.275866789
1024,64.43549683,0.683497495
2048,81.49211363,0.585075716
3072,53.43153385,0.101359022
3,147.2495284,0.591132522
6,57.52425377,0.238469401
12,53.43153385,0.159337999
24,55.76074616,0.130345359
48,61.33374594,0.101359022
96,62.4304942,0.227899716
192,62.37197525,0.299831462
384,62.39665562,0.158734005
768,91.84568784,2.001404675
1536,231.5934022,1.219492177
3072,297.0827517,0.931125796
4096,139.4748376,0
2,878.1134414,0
4,219.1489412,0
8,139.4748376,0
16,152.5076395,0
32,157.9059023,0
64,150.3801201,0
128,154.7304166,0
256,354.9715605,0
512,614.622826,0
1024,662.7920423,0
2048,742.2161372,0
4096,788.2810997,0
