Algorithm,Size,Time
Transpose,2048,0.0586155
Transpose,2048,0.0461033
Transpose,2048,0.0445634
Transpose,2048,0.0455363
Transpose,2048,0.0428817
Transpose,2048,0.04356
Transpose,2048,0.0431856
Transpose,2048,0.0484464
Transpose,2048,0.0487614
Transpose,2048,0.0525535
Transpose,3072,0.1881265
Transpose,3072,0.1115833
Transpose,3072,0.1130924
Transpose,3072,0.1049504
Transpose,3072,0.1080737
Transpose,3072,0.1045336
Transpose,3072,0.1047935
Transpose,3072,0.1030355
Transpose,3072,0.0997819
Transpose,3072,0.110274
Transpose,4096,0.2491302
Transpose,4096,0.2523341
Transpose,4096,0.2258551
Transpose,4096,0.2792089
Transpose,4096,0.2736988
Transpose,4096,0.2821107
Transpose,4096,0.2179389
Transpose,4096,0.2475228
Transpose,4096,0.2760479
Transpose,4096,0.1950172
