Row Labels,Min of AVG,Min of STDEV
2048,10.1237602,0.110078202
2,10.88771912,1.352637834
4,12.7158823,4.926104045
8,10.91379384,1.576479932
16,10.12620876,0.110078202
32,10.2705557,0.175269658
64,10.22093082,0.218029691
128,10.1237602,0.148058473
256,10.29732194,0.218148737
512,10.24971328,0.137405833
1024,10.30372262,0.189279201
2048,10.3002626,0.1927578
3072,34.39346698,0.20329495
3,35.6048161,2.894230479
6,34.48201648,0.664989866
12,34.52330468,0.429032544
24,34.7356469,0.525314161
48,34.77698038,0.514169773
96,34.54555374,0.448234311
192,34.48352146,0.348098569
384,35.59537474,1.490541337
768,34.79560022,0.20329495
1536,34.39346698,0.289672658
3072,35.04776562,0.845581886
4096,80.9184244,0.460946963
2,82.495966,1.799054293
4,82.75803636,1.877608274
8,81.45190446,1.244602682
16,81.66937638,0.972836895
32,82.38647686,1.040024196
64,82.58668498,1.915800136
128,81.02252252,1.448533845
256,80.9184244,1.097987588
512,82.12896808,0.460946963
1024,82.8891966,1.872866514
2048,83.13199246,2.101122022
4096,82.32988336,1.39497933
Grand Total,10.1237602,0.110078202
